SITE,STATUS,BAND NUM,COLOR,AGE,HOW AGE,SEX,WG,TL,TAR,NAR,WID,DEP,WT
SLIGO CREEK,R,2301-56718,XY/PK,AHY,,M,93,98,28,11.9,4.7,5,34.3
SLIGO CREEK,N,2301-56719,GX/BK,AHY,1,F,91,96,27.3,,4.2,4.6,43.5
SLIGO CREEK,R,2301-56719,GX/BK,AHY,,F,91,97,28,,5.2,5.1,
SLIGO CREEK,N,2301-56720,YBU/X,AHY,1,F,89,98,28.8,,4.3,4.7,36.1
SLIGO CREEK,R,2301-56720,YBU/X,AHY,1,F,,,,,,,35.2
SLIGO CREEK,R,2301-56720,YBU/X,AHY,,F,90,96,28.8,12.3,4.7,5.2,39.2
SLIGO CREEK,N,2301-56721,XR/PK,AHY,1,M,89,,25.5,,4,4.5,33.8
SLIGO CREEK,N,2301-56722,XP/W,AHY,1,M,89,93,26.6,,4.5,5.2,34.3
SLIGO CREEK,R,2301-56722,XP/W,AHY,,M,90,94,27.2,,4.6,5.2,34.6
SLIGO CREEK,N,2301-56723,X/PKY,AHY,1,M,94,102,28.3,,4.4,5,35.1
SLIGO CREEK,N,2301-56724,P/XPK,AHY,1,F,88,92,27.1,,4,4.5,35.6
SLIGO CREEK,N,2301-56725,X/PKP,AHY,1,M,91,96,27.9,,4.6,5.3,34.5
SLIGO CREEK,N,2301-56726,PKX/PK,AHY,1,M,90,100,27.4,,4.6,4.8,33.4
SLIGO CREEK,R,2301-56726,PKX/PK ,AHY,,M,,,,,,,
SLIGO CREEK,N,2301-56727,PKPK/X,AHY,1,M,90,93,27.4,,4.2,5.4,35.5
SLIGO CREEK,R,2301-56727,PKPK/X,AHY,,M,88,93,27.3,11.7,4.3,5.4,34.7
SLIGO CREEK,N,2301-56728,XPK/R,AHY,1,F,86,90,27.5,,3.9,4.6,38.1
SLIGO CREEK,R,2301-56728,XPK/R,AHY,,F,90,95,28.2,12.1,4.5,4.8,36.1
SLIGO CREEK,N,2301-56729,BUPK/X,AHY,1,F,88,94,27.8,,4.2,4.8,43.5
SLIGO CREEK,R,2301-56729,PKX/BU,AHY,,F,89,93,28.8,,4.4,4.7,36.7
SLIGO CREEK,N,2301-56730,PK/XBU,AHY,1,M,88,94,26.9,,4.2,4.9,33.8
SLIGO CREEK,N,2301-56731,XY/PK,AHY,1,M,90,97,26.4,,4.6,4.9,34.9
WHEATON,N,2301-56732,YX/BUG,AHY,1,F,91,96,27.8,,4.5,4.4,36.2
WHEATON,N,2301-56733,BX/BUY,AHY,1,M,90,97,27.2,,4.2,4.8,33.7
WHEATON,R,2301-56733,BUX/BUY,AHY,,M,,,,,,,35.7
WHEATON,R,2301-56733,BUX/BUY,AHY,,M,90,92,,,,,35.5
WHEATON,N,2301-56736,OX/BUO,AHY,1,M,92,101,27.6,,4.3,5.4,35.5
WHEATON,N,2301-56737,PX/YG,AHY,1,M,87,91,27.9,,4.8,5.3,35.5
WHEATON,N,2301-56738,BKX/YR,AHY,1,F,86,95,29.7,,4,4.9,38.6
SILVER SPRING,N,2301-56740,YX/YR,AHY,1,M,90,97,27.8,,5,5.5,35.3
SILVER SPRING,N,2301-56745,PX/OR,AHY,1,F,86,89,28.5,,4.4,5,33.5
SILVER SPRING,N,2301-56746,BKX/BUW,AHY,1,M,89,98,27.7,,4.5,4.9,34.6
SILVER SPRING,N,2301-56747,GX/BUG,AHY,1,M,91,97,26.5,,4.6,4.7,37
SILVER SPRING,R,2301-56747,GX/BUG,AHY,,M,93,98,28,,4.5,5,
SILVER SPRING,N,2301-56750,BUX/YO,AHY,1,M,92,100,26.4,,4.5,4.7,31.6
SILVER SPRING,N,2301-56754,GX/YBK,SY,1,F,86,91,27.7,,4.3,5,35.5
WHEATON,N,2301-56755,GX/BUY,AHY,1,F,83,87,27.6,,4.2,5.1,33.9
WHEATON,N,2301-56756,WX/GR,SY,LT,M,86,91,28,,4.2,4.7,35.7
WHEATON,N,2301-56757,OX/OR,AHY,1,M,91,97,29.3,,4.5,5.1,38.2
WHEATON,R,2301-56757,OX/OR,AHY,,M,91,94,29.3,12.4,4.1,5,35.6
WHEATON,N,2301-56761,BKX/OP,AHY,1,M,87,92,26.9,,4.4,4.8,35.5
WHEATON,N,2301-56762,RX/OW,SY,LT,M,88,89,27.3,,4.5,5,36.8
TAKOMA PARK,N,2301-56763,PKX/BUW,SY,LT,M,87,90,27,,4.2,4.8,34.7
TAKOMA PARK,N,2301-56764,GX/YG,SY,LT,M,87,91,26,,4.3,4.9,31.9
TAKOMA PARK,N,2301-56765,RX/OG,SY,LT,F,86,85,27.6,,3.7,4.9,
TAKOMA PARK,N,2301-56766,YX/OBK,AHY,1,F,86,88,27.2,,4.3,4.9,36.8
TAKOMA PARK,N,2301-56767,WX/BUY,AHY,1,F,85,86,26,,4.5,4.9,39.8
TAKOMA PARK,R,2301-56767,WX/BUY,SY,LT,F,85,90,25.9,,4.5,5,34.3
TAKOMA PARK,N,2301-56771,PKX/YR,AHY,1,F,85,88,26.4,,4.2,4.8,35.2
TAKOMA PARK,N,2301-56772,WX/YW,AHY,1,M,92,90,27.6,,4.5,5,35.8
WHEATON,N,2301-56777,YX/YBK,SY,LY,F,82,86,25.4,,4.6,5,31.4
TAKOMA PARK,N,2301-56780,WX/YP,AHY,1,M,86,87,27.2,,4,4.9,35.8
SILVER SPRING,N,2301-56781,WX/BUPK,AHY,1,M,86,89,27.4,,4.5,4.8,34.5
SILVER SPRING,N,2301-56782,RX/YP,SY,LT,F,82,83,24.6,,4.2,4.7,32.6
SILVER SPRING,N,2301-56785,GX/YO,AHY,1,M,92,102,27.2,,4.4,4.9,36.2
SILVER SPRING,N,2301-56786,OX/OW,SY,LT,F,85,87,26.5,,4.2,4.7,35.8
SILVER SPRING,N,2301-56787,PKX/BUPK,AHY,1,M,93,95,27.2,,4.2,4.6,35.3
SILVER SPRING,N,2301-56791,BX/BUW,SY,LT,F,84,86,25.5,,4.3,4.7,31.8
SILVER SPRING,N,2301-56792,WX/YG,AHY,1,M,89,95,25.3,,4.1,4.6,32.5
TAKOMA PARK,N,2301-56793,PX/BUP,SY,LT,F,84,91,26.9,,4.4,4.9,
SLIGO CREEK,N,2301-56794,RX/BUR,AHY,1,M,88,96,,,4.7,4.9,32.6
SLIGO CREEK,R,2301-56794,RX/BUR,AHY,,M,88,96,27.5,12.1,4.9,5.6,34
SLIGO CREEK,N,2301-56795,PX/BUG,AHY,1,M,90,98,29.4,,4.9,4.9,36.1
SLIGO CREEK,N,2301-56796,WX/OR,AHY,1,M,95,101,27.9,,4.2,4.7,35
SLIGO CREEK,R,2301-56796,WX/OR,AHY,,M,94,101,28,,4.7,4.8,35.6
SLIGO CREEK,N,2301-56797,PKX/BUW,AHY,1,M,87,93,25.8,,4,4.9,33.8
SLIGO CREEK,N,2301-56798,WX/YR,AHY,1,M,88,90,27.6,,4.1,5.1,36.5
SLIGO CREEK,N,2301-56799,GX/BUBK,AHY,1,F,86,94,27,,4.6,4.5,47
SLIGO CREEK,N,2301-56800,OX/PG,SY,LT,M,86,86,27.3,,5,5.1,34.9
TAKOMA PARK,N,2331-40902,YX/PKW,AHY,,F,87,93,27.9,12.4,4.2,5.1,36.7
TAKOMA PARK,N,2331-40904,BUX/RP,AHY,,M,91,99,28.5,11.7,4.5,5.3,36.4
TAKOMA PARK,N,2331-40905,BUX/RBK,AHY,,F,88,93,27.8,12.5,4.6,5.1,39.2
SLIGO CREEK,N,2331-40906,PX/GBU,AHY,,F,88,91,27.4,11.9,4.3,5,34.1
SLIGO CREEK,N,2331-40907,BKX/GY,AHY,,M,90,98,28.4,12.5,4.4,5.3,39.6
SLIGO CREEK,N,2331-40909,PKX/RBK,AHY,,F,85,90,27.5,12.1,4.7,4.9,37.5
SLIGO CREEK,N,2331-40913,WX/GY,SY,,F,86,90,28.7,11.9,4.1,4.8,32.8
SLIGO CREEK,N,2331-40918,PKX/GR,AHY,,F,86,92,27.5,11.8,4.9,4.9,35.2
SLIGO CREEK,N,2331-40921,PKX/RW,SY,,M,86,91,27.3,12.1,4.5,5,35.6
SLIGO CREEK,N,2331-40923,PKX/PY,AHY,,F,89,100,26.8,11.8,4.7,4.7,33.7
WHEATON,N,2331-40933,RX/PW,AHY,,F,90,,27.7,10.8,4.8,5.3,34.8
WHEATON,N,2331-40934,PX/PY,AHY,,M,90,95,29.7,11.8,4.8,5.1,33.6
WHEATON,N,2331-40935,GX/PG,AHY,,M,90,89,28.9,11.6,4.7,4.9,33.3
WHEATON,N,2331-40936,YX/WG,AHY,,M,88,91,27.9,12.8,4.7,5.1,35.7
WHEATON,N,2331-40940,RX/PKR,AHY,,F,89,96,28.3,11.7,4.9,5.1,39.3
