SITE,STATUS,BAND NUM,COLOR,AGE,HOW AGE,SEX,WG,TL,TAR,NAR,WID,DEP,WT
SLIGO CREEK,N,2331-41765,BUX/YG,AHY,,F,89,95,28.6,,4.5,4.9,37.8
SLIGO CREEK,R,2331-41765,BUX/YG,AHY,,F,,,,,,,
SLIGO CREEK,R,2331-41766,RX/YR,AHY,,M,90,92,28.2,12,4.7,5.3,37.2
SLIGO CREEK,N,2331-41768,X/,AHY,,M,92,97,28.8,,5,5.3,35.5
SLIGO CREEK,R,2331-41768,BUX/OG,AHY,,M,92,99,29,12.4,4.7,5.4,36
SLIGO CREEK,N,2331-41770,WX/RBK,AHY,,F,92,93,28.1,,4.6,5.2,46.9
SLIGO CREEK,N,2331-41771,OX/OBK,AHY,,M,93,102,27,,4.6,5.2,36.8
SLIGO CREEK,R,2331-41771,OX/OBK,AHY,,M,,,,,,,
SLIGO CREEK,N,2331-41772,PX/RBU,AHY,,M,88,94,27.2,,5.2,5.3,34.1
SLIGO CREEK,N,2331-41773,OX/OG,AHY,,M,87,92,27.8,,4.4,5.1,34
SLIGO CREEK,N,2331-41774,OX/RG,AHY,,M,93,101,26.3,,4.9,5.1,35.8
SLIGO CREEK,R,2331-41774,OX/RG,AHY,,M,,,,,,,34.8
SLIGO CREEK,N,2331-41775,PKX/BUR,SY,,F,85,94,28.1,,4.6,4.8,40.2
SLIGO CREEK,R,2331-41775,PKX/BUR,SY,,F,,,,,,,
TAKOMA - FERN,N,2331-41776,GX/OG,AHY,,M,92,97,28.3,,4.7,5.1,37.1
TAKOMA - FERN,N,2331-41777,WX/RY,AHY,,F,89,98,26.8,,4.8,4.8,
TAKOMA - FERN,N,2331-41778,PX/OBU,SY,,F,88,89,28.4,,4.6,5.1,44.8
SILVER SPRING,N,2331-41784,PX/YBU,AHY,,F,90,99,27.5,,4.8,5.1,37.3
SILVER SPRING,N,2331-41789,BKX/OW,SY,,F,89,94,28.1,,4.8,4.9,37.5
SILVER SPRING,N,2331-41795,WX/RW,AHY,,M,87,92,27.4,,4.4,4.9,34.8
TAKOMA PARK,N,2331-41796,PX/RY,SY,,M,90,92,27,,4.4,5,33.5
TAKOMA PARK,N,2331-41797,YX/RG,AHY,,F,91,94,27,,4.5,5.3,42.1
TAKOMA PARK,N,2331-41798,OX/PO,AHY,,F,91,95,27.9,,4.8,4.8,41.5
TAKOMA PARK,N,2331-41799,PKX/GW,SY,,M,88,99,29,,4.1,5.5,33.2
TAKOMA PARK,R,2411-37303,X/RPK,AHY,,M,93,95,27.4,11.9,4.3,5,
TAKOMA PARK,N,2411-37503,PX/PKP,AHY,,M,91,97,29.6,,4.6,5.2,35
TAKOMA PARK,N,2411-37509,BKX/YW,AHY,,M,95,101,27.8,,4.7,5,36.8
TAKOMA PARK,N,2411-37514,WX/PKBK,AHY,,F,91,96,27.5,,4.8,5.1,38.1
TAKOMA PARK,N,2411-37515,OX/PKP,AHY,,M,98,94,27.7,,4.1,5.5,31.9
TAKOMA PARK,N,2411-37516,GX/YR,AHY,,F,89,93,27.5,,4.9,4.9,36.1
TAKOMA PARK,N,2411-37521,BKX/YO,AHY,,F,88,93,27.4,,4.6,5,38.3
TAKOMA PARK,N,2411-37526,OX/RBU,AHY,,F,89,95,28.4,,5.2,4.8,36.9
SILVER SPRING,N,2411-37531,BKX/PY,AHY,,F,88,89,28.6,12,4.3,5.2,36.4
SILVER SPRING,N,2411-37533,PX/PBK,AHY,,F,89,90,27.7,11.9,4.9,5,35
TAKOMA PARK,N,2411-37542,OX/PR,AHY,,F,88,94,26.8,11.2,4.5,5.1,33.6
TAKOMA PARK,N,2411-37543,BUX/YR,SY,,M,88,92,26.5,11.1,4.5,5.2,33.7
TAKOMA PARK,N,2411-37544,PKX/GBU,AHY,,M,87,94,26.1,12.5,4.7,5.3,31.3
TAKOMA PARK,N,2411-37545,WX/BUW,SY,,F,86,90,27.4,11.8,4.8,4.8,32.3
TAKOMA PARK,N,2411-37548,WX/OY,AHY,,F,89,93,27.8,10.8,4.2,4.5,38.8
WHEATON,N,2411-37552,RX/GR,AHY,,M,94,95,28.6,11.6,4.3,5.3,34.7
WHEATON,N,2411-37560,PX/BUR,AHY,,M,89,91,28.6,13.2,4.7,4.9,36.7
WHEATON,R,2411-37560,PX/BUR,AHY,,M,,,,,,,38
WHEATON,N,2411-37561,PKX/RG,AHY,,F,89,90,28.3,12.3,4.2,4.7,34.5
WHEATON,R,2411-37561,PKX/RG,AHY,,F,,,,,,,41.4
SLIGO CREEK,N,2411-37565,BUX/OR,AHY,,M,88,89,28.2,11.3,4.3,5.4,34.8
SLIGO CREEK,N,2411-37569,GX/PKY,SY,,F,82,93,27.4,11.6,4.4,5.1,34.7
SLIGO CREEK,R,2411-37569,GX/PKY,SY,,F,,,,,,,
SLIGO CREEK,N,2411-37573,WX/GO,SY,,F,90,97,28.5,11.5,4.3,4.7,38.1
SLIGO CREEK,N,2411-37574,YX/BUBK,AHY,,M,87,93,28.7,12.2,4.7,5.3,35.6
SLIGO CREEK,R,2411-37574,YX/BUBK,AHY,,M,,,,,,,
WHEATON,N,2411-37579,PKX/BUBK,SY,,F,85,91,27.7,11.7,4,4.7,36.4
WHEATON,R,2411-37579,PKX/BUBK,AHY,,F,,,,,,,31.9
WHEATON,N,2411-37580,GX/RY,AHY,,M,89,94,27.9,12.2,4.9,5.2,35.6
WHEATON,N,2411-37589,PX/BUO,SY,,F,90,93,28,11.7,5.3,5,
WHEATON,N,2411-37594,YX/GR,SY,,F,84,89,26.9,11.5,4.4,4.8,32.9
WHEATON,N,2411-37595,OX/PKO,AHY,,M,93,98,28,11.9,5.1,5,33.7
WHEATON,N,2411-37600,YX/RO,SY,,F,85,93,27.8,12.3,4.8,5.2,35.7
WHEATON,N,2411-37601,RX/GBU,SY,,F,86,94,25.9,12,4.8,5.1,35.6
WHEATON,R,2411-37601,RX/GBU,SY,,F,,,,,,,32.8
WHEATON,N,2411-37606,WX/RG,SY,,M,86,91,27.2,11.4,4.7,5.3,34.6
WHEATON,N,2411-37607,BUX/BUPK,AHY,,F,88,100,26.6,11.4,4.3,5.2,37.9
WHEATON,N,2411-37608,GX/RBU,SY,,M,90,89,28.1,12.1,4.8,4.9,32.1
WHEATON,N,2411-37609,PKX/PKG,SY,,F,86,91,27.3,12.5,4.4,5,36.4
WHEATON,N,2411-37610,PUX/BUW,AHY,,M,91,97,28.3,12.5,4.7,5.1,35.8
WHEATON,N,2411-37611,YX/BUP,AHY,,F,84,,28.2,11.9,4.9,4.9,34.6
SLIGO CREEK,N,2411-37619,GX/RW,SY,,F,87,89,27.2,11.8,4.8,5.1,35.6
SLIGO CREEK,N,2411-37620,YX/GY,AHY,,M,88,95,27.2,12.5,5,5.1,33.8
SLIGO CREEK,N,2411-37625,YX/RBK,AHY,,M,91,98,26.3,11.8,5.1,5.7,35.4
SLIGO CREEK,N,2411-37626,OX/GBU,SY,,F,82,86,27.7,12,4.9,5.2,36.2
SLIGO CREEK,N,2411-37628,BUX/RY,AHY,,M,88,99,27.3,11.8,4.5,5.1,34.9
SLIGO CREEK,N,2411-37629,PX/GY,AHY,,M,89,96,27.6,12.9,4.5,5.3,37.7
SLIGO CREEK,N,2411-37630,PKX/RBU,SY,,F,85,88,25.7,11.4,4.4,5.3,32.9
WHEATON,N,2411-37637,RX/GY,AHY,,F,87,91,27.5,11.7,4.2,4.8,35.2
WHEATON,N,2411-37638,PX/RG,AHY,,F,90,94,27.3,12,4.6,4.8,35.2
WHEATON,R,2411-37638,PX/RG,AHY,,F,90,96,,,,,35
SLIGO CREEK,N,2411-37642,GX/GO,AHY,,F,88,95,27.2,12.2,4.6,5.1,39.1
SLIGO CREEK,N,2411-37643,WX/RP,AHY,,F,88,94,28.7,10.7,4.8,4.9,41.2
SLIGO CREEK,N,2411-37647,RX/BUW,AHY,,M,90,94,27.5,11.4,4.9,5.3,35.6
WHEATON,N,2411-37652,BUX/PKW,AHY,,M,88,91,28.8,12.1,5.1,5.4,36.2
WHEATON,N,2411-37657,GX/WY,AHY,,F,86,91,28,11.4,4.9,5,33.3
SLIGO CREEK,N,2411-37660,BUX/RG,SY,,F,85,88,28.5,12,4.8,5.1,34.6
SLIGO CREEK,N,2411-37664,OX/RY,AHY,,M,89,93,27.9,12,4.7,4.8,32.6
SLIGO CREEK,N,2411-37668,BUX/PW,AHY,,F,89,93,28.7,11.3,4.8,5,35.4
SLIGO CREEK,N,2411-37674,OX/GP,AHY,,M,92,94,27.6,11.8,4.5,5.4,36
SLIGO CREEK,N,2411-37675,PX/PKR,AHY,,F,90,95,29.5,12.5,4.9,5.4,39.2
SLIGO CREEK,N,2411-37681,OX/BUBK,AHY,,F,90,95,28,12.6,4.9,5.2,36.4
SLIGO CREEK,N,2411-37682,GX/YBU,SY,,M,88,91,27.7,11,5,5.1,32.5
SLIGO CREEK,N,2411-37683,GX/WR,AHY,,F,98,92,26.6,12.5,4.3,4.8,31.6
SLIGO CREEK,R,2411-37683,GX/WR,AHY,,F,88,93,26.5,13.3,4.7,5,35.8
SLIGO CREEK,N,2411-37684,PX/PKG,AHY,,F,89,90,27.7,11.6,4.5,5,35.5
SLIGO CREEK,N,2411-37685,RX/BUBK,AHY,,M,90,96,27.8,11.8,4.6,5.4,34.2
SLIGO CREEK,N,2411-37689,WX/YBU,AHY,,F,97,91,27.6,10.8,4.8,5.1,34.4
SLIGO CREEK,N,2411-37690,BKX/BUG,SY,,M,90,97,29,11.9,4.7,5,36.9
SLIGO CREEK,N,2411-37693,GX/GR,AHY,,F,88,91,28,11.7,4.2,5.1,33.2
WHEATON,N,2411-37695,BUX/PY,AHY,,M,89,94,27.3,13,4.4,4.8,37.6
WHEATON,N,2411-37696,BKX/YG,SY,,M,86,88,26,11.4,4.9,5.1,35.2
WHEATON,N,2411-37697,GX/RP,SY,,F,84,90,27.4,11.2,4.6,5,32.9
SILVER SPRING,N,2411-37901,GX/OBK,AHY,,M,92,96,26.9,12.7,4.6,5.6,34
TAKOMA PARK,N,2411-37906,PKX/RY,AHY,,M,88,89,28.6,11.9,4.3,4.9,34
TAKOMA PARK,N,2411-37909,YX/OR,AHY,,F,88,87,26,11.5,4.1,5.2,34
TAKOMA PARK,N,2411-37914,PX/RO,AHY,,F,85,82,27.4,11.5,4.6,5.3,35
TAKOMA PARK,N,2411-37915,OX/GW,AHY,,M,88,93,27.6,11.7,4.4,5.1,31
SILVER SPRING,N,2411-37919,WX/PBU,AHY,,F,89,92,27.7,12.1,4.4,5.2,36
TAKOMA PARK,N,2411-37922,BUX/BUP,AHY,,F,89,94,25.7,11.1,4.5,5.1,35
SILVER SPRING,N,2411-37926,RX/GBK,AHY,,F,88,88,28.2,11.2,4.2,4.9,35
SILVER SPRING,N,2411-37930,YX/BUR,AHY,,M,91,95,28.5,12.3,4.3,5.3,37
SILVER SPRING,N,2411-37931,PX/RW,AHY,,F,89,92,26.7,12.6,4.1,4.8,36
SILVER SPRING,N,2411-37936,PKX/GY,AHY,,M,89,92,28.5,13,4.7,4.9,33
SILVER SPRING,N,2411-37937,WX/RBU,AHY,,F,88,91,27.4,11.2,4.7,5,35
SILVER SPRING,N,2411-37945,PX/GP,AHY,,M,90,90,28.4,12.2,4.4,4.7,
SILVER SPRING,N,2411-37949,BUX/YBU,AHY,,F,89,93,27.3,11,4.5,4.9,36.5
TAKOMA PARK,N,2411-37950,YX/GBU,AHY,,F,91,96,28.7,12.2,4.8,5,
TAKOMA PARK,N,2411-37957,RX/YBK,SY,,F,86,92,26.3,11.9,4.3,4.7,34.5
TAKOMA PARK,N,2411-37964,YX/RBU,AHY,,F,86,95,28.3,12.3,4.7,5,37.9
TAKOMA PARK,N,2411-37969,RX/GO,SY,,F,85,82,26.5,10.8,4.9,4.9,33.2
TAKOMA PARK,N,2411-37970,OX/BUPK,AHY,,M,91,98,26.5,12.1,4.2,5.2,33
WHEATON,N,NO BAND18,Y/PKG,AHY,,F,,,,,,,
