band_num,band_age,Color Band,d_banded,tail,tars,mass,wing,sex,fm_site,species
241137112,AHY,"p/o,a",6/7/09,,24.72,43.2,93,M,Buising,NOCA
241137712,U,"-,pk/a",5/30/09,,,,,U,Fisher,GRCA
230156503,AHY,"G/Pk,a",5/13/09,,27.96,35,91.5,M,Stewart,GRCA
244115009,AHY,"g/a,p",5/11/09,,20.42,19,57,F,Raun,CARW
120299063,AHY,"pk/a,o",5/10/09,,31.65,88,122,F,Reitsma,AMRO
226138333,AHY,"g,o/a",7/13/07,,21.9,21,60,M,Gecan,SOSP
241137417,AHY,"a/y,y/y",6/30/09,,27.145,32.25,90,M,O'Brien,GRCA
230176336,AHY,"r/bk,a",6/30/10,,27.39,33.4,93,M,"Woodward, Paul",GRCA
261037352,AHY,"o,a",7/27/10,,16.76,11,62,F,"Campbell, R.",CACH
246022978,AHY,"bk/p,a",7/26/10,,17.12,9.6,54,M,Raun,HOWR
225180389,AHY,"a,bk/g",7/26/10,,21.21,19.4,59,M,Raun,CARW
234129357,AHY,"a,y/w",7/3/10,,22.56,21.4,60,M,Fisher,CARW
242111758,AHY,"A,R/w",7/2/10,,23.85,44.6,92,F,Barbour,NOCA
242111664,AHY,"a/o,o/o",7/1/10,,28.4,33.3,88,F,O'Brien,GRCA
259083161,HY,"pu,a/bu",6/30/10,,16.24,9.6,63,U,"Woodward, Paul",CACH
242111663,AHY,"w/g,a",6/30/10,,26.56,37,88,F,Stann,GRCA
261037317,HY,"p,a/w",6/8/10,,15.92,9.8,63,U,Salo,CACH
242111622,AHY,"r/a,bk",6/8/10,,24.22,40,92,M,Salo,NOCA
242111406,AHY,"w,bk/a",6/7/10,,28.16,39.3,87.5,F,Wilde,GRCA
129264252,AHY,"p/pk,a",6/7/10,,31.93,73.7,125,F,Wilde,AMRO
242111404,AHY,"o,g/a",6/5/10,,27.72,36.1,90,F,Stuebner,GRCA
261037312,AHY,"a,y/o",6/1/10,,14.67,9.4,59,F,Knight,CACH
261037309,HY,"o,g/a",6/1/10,,15.78,10.5,54,U,Knight,CACH
242111614,AHY,"y/p,a",6/1/10,,24.43,38.9,92,F,Knight,NOCA
242111612,AHY,"r/o,a",6/1/10,,24.95,40.7,93,M,Knight,NOCA
244114068,AHY,"g,a/bk",5/29/10,,21.92,20.9,65.5,M,Buising,SOSP
244114067,AHY,"a,pk/y",5/29/10,,21.38,22.9,63,F,Buising,SOSP
241137793,AHY,"bu,y/a",5/29/10,,27.87,35.4,88,M,Buising,GRCA
261037305,U,"a/y,p",5/28/10,,15.63,10,62,U,Balachandran,CACH
242111607,AHY,"bk,bu/a",5/24/10,,23.94,44.4,90,F,Fuisz,NOCA
246022780,AHY,"a/w,w",5/10/10,,14.58,8.3,59,F,Vongsathorn,CACH
127243086,AHY,"g,bk/a",5/10/10,,30.03,84.1,121,F,Vongsathorn,AMRO
246022847,U,"a,p/o",7/13/07,,15.84,9.5,55,U,Gecan,CACH
123287913,AHY,"o, A/O",6/7/08,,,,126,F,Balachandran,AMRO
230156957,HY,"p/a,bk",7/13/09,,23.36,39.7,82,U,Barbour,NOCA
230156956,AHY,"w,pk/a",7/13/09,,22.99,42.5,93,M,Barbour,NOCA
120299062,AHY,"A/Y,G",5/10/09,,34.71,91,132,F,Reitsma,AMRO
230155967,AHY,"bk/r,a",7/1/08,,26.95,35.8,86,M,"Woodward, Paul",GRCA
74229428,AHY,"pk/bk,a",6/2/08,,30.7,76.1,115,F,Barbour,AMRO
195141271,AHY,"y/o,a",5/30/05,,29.2,36.8,89,M,Frey,GRCA
244114696,AHY,"bk,a/g",7/12/10,,21.06,22.5,63,F,Hunter,SOSP
251004318,HY,"y,a/w",7/2/07,,16.8,10.4,58,M,Newberry,HOWR
244114140,AHY,"-,o/a",7/2/09,,21.19,19.6,68,M,Wilde,SOSP
230156530,AHY,"o,a/g",7/26/08,,24.51,47.4,94,M,"Miller, L.",NOCA
120299051,AHY,"w/a,y",7/18/08,,32.78,49.5,112,M,Simons,NOMO
234129326,AHY,"o/w,a",7/12/08,,20.9,21.5,67,M,Halla,SOSP
251003803,U,"y,a/y",5/29/08,,16.57,10.2,61,U,Speyser,CACH
230156597,AHY,"pk,pk/a",5/28/08,,25.68,44,92,M,Rohrbach,NOCA
251004210,AHY,"a/bu,g",6/18/07,,15.43,10.05,60,F,"Galloway, T.",CACH
230156905,AHY,"y,g/a",6/21/07,,24.77,42.5,96,M,Missiaen,NOCA
230156785,AHY,"G/A,y/o",6/24/08,,27.2,36.2,92,M,Reitsma,GRCA
228169478,AHY,"a,pk/pk",6/19/08,,21.69,20.2,62,M,Lieberman,SOSP
230156589,AHY,"a/pk,o",6/3/08,,24.47,45.3,90,F,"Young, E.",NOCA
225180092,AHY,"A,Pk/R",5/27/08,,20.95,22.1,65,F,Subramanian,SOSP
230155974,ASY,"r/a,g",7/8/08,,23.54,40.9,92.75,M,Burdett,NOCA
74229436,AHY,"r,a/pk",6/30/08,,33.33,53.7,118,M,Morrison,NOMO
120299047,ASY,"r/a,pk",6/21/08,,33.145,53,116,M,Solitro,NOMO
228169442,AHY,"a,g/o",7/11/07,,21.535,21.25,63,M,Burdett,SOSP
244113744,AHY,"a/pu,pk",7/28/09,,20.94,18.3,62,F,Reitsma,SOSP
241137187,AHY,"bk,w/a",7/28/09,,23.97,42.2,90,F,Reitsma,NOCA
79117226,ASY,"y,r/a",7/26/09,,28.08,38.9,91,M,"Young, K.",GRCA
244115044,AHY,"w/pk,a",7/22/09,,21.94,21,65,M,"Owen, D.",SOSP
241115043,AHY,"o,a/bk",7/22/09,,22.96,42,105,M,"Owen, D.",NOCA
241137178,AHY,"a/g,w",7/20/09,,23.85,44.1,88,F,Horowitz,NOCA
230156962,AHY,"bk/bu,a",7/20/09,,20.66,38.1,91,F,Wolfrum,NOCA
230156961,AHY,"o, a/bu",7/20/09,,27.25,33.6,91,U,Wolfrum,GRCA
259082636,AHY,"r/a,g",7/17/09,,16.59,10,61,U,Myers,CACH
120299095,AHY,"r,a/pk",7/15/09,,31.67,79,123,F,Carl,AMRO
241137429,AHY,"a/pk,g",7/14/09,,28.02,37.5,94,M,Wiebe,GRCA
241137169,HY,"g,a/r",7/14/09,,24.71,44.9,86,M,Hawn,NOCA
129264512,AHY,"pk/bu,a",7/11/09,,33.43,75.1,121,F,Kestnbaum-Cook,AMRO
230156952,AHY,"a/r,bu",7/10/09,,28.43,33.9,86,M,D'Alessio,GRCA
241137766,AHY,"a/bu,p",7/3/09,,26.29,44,95,M,Schindler,NOCA
230156943,AHY,"bu,a/p",7/3/09,,28.46,36.5,88,M,"Williams, R.",GRCA
259082564,HY,"a/y,p",6/30/09,,15.95,9.8,59,U,Owen,CACH
259082563,HY,"bk,a/r",6/30/09,,15.54,9.3,59,U,Owen,CACH
244114040,AHY,"pk/y,a",6/30/09,,20.47,19.4,65,M,Owen,SOSP
129264336,AHY,"a,g",6/30/09,,32.89,79.1,128,F,Brown-DC,AMRO
241137379,AHY,"a/g,R",6/29/09,,22.12,41.1,90,F,Sullivan,NOCA
241137378,AHY,"p/a,o",6/29/09,,23.42,46.1,92,F,Sullivan,NOCA
241113750,AHY,"r,a/pk",6/29/09,,26.5,42.9,92,M,Drake,NOCA
241137148,AHY,"r/y,a",6/28/09,,24.63,44.3,93,M,Nichols,NOCA
244114036,AHY,"pk/a,g",6/26/09,,21.28,20.6,66,M,Hutchinson,SOSP
244114035,AHY,"r/a,pk",6/26/09,,21.28,21.3,64,M,Hutchinson,SOSP
241137292,HY,"a,pk/pk",6/26/09,,23.69,43.1,87,M,Hutchinson,NOCA
241137139,AHY,"p/a,pk",6/24/09,,27.97,33.5,90,M,Gaetano,GRCA
241137134,AHY,"a,pk/y",6/22/09,,24.66,40.3,91,M,"Miller, J.",NOCA
241137132,AHY,"r,o/a",6/22/09,,25.08,41,90.5,M,"Miller, J.",NOCA
244114123,AHY,"y,bk/a",6/20/09,,21.81,20.5,66,M,Land,SOSP
241137279,AHY,"bu/a,w",6/16/09,,23.11,39.7,87,F,McCoy ,NOCA
129264311,AHY,"a,w/g",6/16/09,,32.39,68.4,120,M,Wiley,AMRO
241137119,AHY,"w/a,bk",6/15/09,,24.01,40.2,95,M,Baines,NOCA
241137277,AHY,"a/r,pk",6/14/09,,27.69,34.4,93,M,Solitro,GRCA
241137333,AHY,"y,a/pk",6/13/09,,27.38,33.2,89,M,Gorove,GRCA
