Species,Species_Code,Capture_Date,Sex,Age,USGS_BandNum,Mass_g,Fat,Molt,WingChord_mm,TailLength,Tarsus,Recapture,MoltLimit
Chipping Sparrow,CHSP,9/10/2014,U,HY,2710-54368,13.7,0.5,no,68,65,19.8,No,NO
Chipping Sparrow,CHSP,9/10/2014,U,U,NB,,,,,,,No,NO
Gray Catbird,GRCA,9/10/2014,U,AHY,2641-96822,36.6,0.5,"B,W",92,95,27.6,No,NO
Gray Catbird,GRCA,9/10/2014,U,HY,2641-96823,37.7,0.5,No,89,95,28.1,No,NO
Gray Catbird,GRCA,9/11/2014,U,HY,2641-96824,36.4,1,,86,85,26.3,No,NO
American Redstart,AMRE,9/11/2014,M,HY,2710-54371,7.3,0.5,Yes,60,55,17.3,No,NO
Lincoln's Sparrow,LISP,9/11/2014,U,HY,2710-54370,15.9,1,,58,52,,No,NO
Gray Catbird,GRCA,9/11/2014,U,HY,2641-96823,35.7,0.5,No,88,90,27.3,No,NO
Swainson's Thrush,SWTH,9/11/2014,U,HY,2571-89957,30.4,0.5,No,93,62,26,No,NO
Indigo Bunting,INBU,9/11/2014,U,HY,2591-27503,19.6,1,B,67,57,,No,NO
