"","tFirst","tSecond","type"
"103",2011-09-16 11:03:00,2011-09-17 00:09:00,1
"104",2011-09-17 00:09:00,2011-09-17 11:04:00,2
"105",2011-09-17 11:04:00,2011-09-18 00:07:00,1
"106",2011-09-18 00:07:00,2011-09-18 11:18:00,2
"107",2011-09-18 11:18:00,2011-09-18 22:53:00,1
"108",2011-09-18 22:53:00,2011-09-19 11:20:00,2
"109",2011-09-19 11:20:00,2011-09-20 11:10:00,1
"110",2011-09-20 11:10:00,2011-09-21 11:11:00,1
"111",2011-09-21 11:11:00,2011-09-21 23:59:00,1
"112",2011-09-21 23:59:00,2011-09-22 11:10:00,2
"113",2011-09-22 11:10:00,2011-09-22 23:45:00,1
"114",2011-09-22 23:45:00,2011-09-23 11:23:00,2
"115",2011-09-23 11:23:00,2011-09-24 11:18:00,1
"116",2011-09-24 11:18:00,2011-09-24 23:45:00,1
"117",2011-09-24 23:45:00,2011-09-25 11:44:00,2
"118",2011-09-25 11:44:00,2011-09-25 23:13:00,1
"119",2011-09-25 23:13:00,2011-09-26 11:13:00,2
"120",2011-09-26 11:13:00,2011-09-26 23:52:00,1
"121",2011-09-26 23:52:00,2011-09-27 11:27:00,2
"122",2011-09-27 11:27:00,2011-09-27 23:48:00,1
"123",2011-09-27 23:48:00,2011-09-28 11:25:00,2
"124",2011-09-28 11:25:00,2011-09-28 23:49:00,1
"125",2011-09-28 23:49:00,2011-09-29 11:20:00,2
"126",2011-09-29 11:20:00,2011-09-29 23:22:00,1
"127",2011-09-29 23:22:00,2011-09-30 11:18:00,2
"128",2011-09-30 11:18:00,2011-09-30 23:51:00,1
"129",2011-09-30 23:51:00,2011-10-01 11:33:00,2
"130",2011-10-01 11:33:00,2011-10-01 23:45:00,1
"131",2011-10-01 23:45:00,2011-10-02 11:20:00,2
"132",2011-10-02 11:20:00,2011-10-02 23:46:00,1
"133",2011-10-02 23:46:00,2011-10-03 11:18:00,2
"134",2011-10-03 11:18:00,2011-10-03 23:41:00,1
"135",2011-10-03 23:41:00,2011-10-04 11:38:00,2
"136",2011-10-04 11:38:00,2011-10-04 23:38:00,1
"137",2011-10-04 23:38:00,2011-10-05 11:38:00,2
"138",2011-10-05 11:38:00,2011-10-05 23:41:00,1
"139",2011-10-05 23:41:00,2011-10-06 11:32:00,2
"140",2011-10-06 11:32:00,2011-10-06 23:41:00,1
"141",2011-10-06 23:41:00,2011-10-07 11:18:00,2
"142",2011-10-07 11:18:00,2011-10-07 23:35:00,1
"143",2011-10-07 23:35:00,2011-10-08 11:23:00,2
"144",2011-10-08 11:23:00,2011-10-08 23:40:00,1
"145",2011-10-08 23:40:00,2011-10-09 11:21:00,2
"146",2011-10-09 11:21:00,2011-10-09 23:31:00,1
"147",2011-10-09 23:31:00,2011-10-10 11:39:00,2
"148",2011-10-10 11:39:00,2011-10-10 23:42:00,1
"149",2011-10-10 23:42:00,2011-10-11 11:24:00,2
"150",2011-10-11 11:24:00,2011-10-11 23:44:00,1
"151",2011-10-11 23:44:00,2011-10-12 11:46:00,2
"152",2011-10-12 11:46:00,2011-10-12 23:30:00,1
"153",2011-10-12 23:30:00,2011-10-13 11:27:00,2
"154",2011-10-13 11:27:00,2011-10-13 23:31:00,1
"155",2011-10-13 23:31:00,2011-10-14 11:27:00,2
"156",2011-10-14 11:27:00,2011-10-14 23:25:00,1
"157",2011-10-14 23:25:00,2011-10-15 11:28:00,2
"158",2011-10-15 11:28:00,2011-10-15 23:33:00,1
"159",2011-10-15 23:33:00,2011-10-16 11:34:00,2
"160",2011-10-16 11:34:00,2011-10-16 23:31:00,1
"161",2011-10-16 23:31:00,2011-10-17 11:06:00,2
"162",2011-10-17 11:06:00,2011-10-17 23:12:00,1
"163",2011-10-17 23:12:00,2011-10-18 11:23:00,2
"164",2011-10-18 11:23:00,2011-10-18 23:16:00,1
"165",2011-10-18 23:16:00,2011-10-19 11:41:00,2
"166",2011-10-19 11:41:00,2011-10-19 23:06:00,1
"167",2011-10-19 23:06:00,2011-10-20 11:34:00,2
"168",2011-10-20 11:34:00,2011-10-20 23:08:00,1
"169",2011-10-20 23:08:00,2011-10-21 11:27:00,2
"170",2011-10-21 11:27:00,2011-10-21 23:16:00,1
"171",2011-10-21 23:16:00,2011-10-22 11:29:00,2
"172",2011-10-22 11:29:00,2011-10-22 23:13:00,1
"173",2011-10-22 23:13:00,2011-10-23 11:45:00,2
"174",2011-10-23 11:45:00,2011-10-23 23:13:00,1
"175",2011-10-23 23:13:00,2011-10-24 11:32:00,2
"176",2011-10-24 11:32:00,2011-10-24 23:16:00,1
"177",2011-10-24 23:16:00,2011-10-25 11:46:00,2
"178",2011-10-25 11:46:00,2011-10-25 23:09:00,1
"179",2011-10-25 23:09:00,2011-10-26 11:29:00,2
"180",2011-10-26 11:29:00,2011-10-26 23:06:00,1
"181",2011-10-26 23:06:00,2011-10-27 11:39:00,2
"182",2011-10-27 11:39:00,2011-10-27 23:10:00,1
"183",2011-10-27 23:10:00,2011-10-28 11:39:00,2
"184",2011-10-28 11:39:00,2011-10-28 23:18:00,1
"185",2011-10-28 23:18:00,2011-10-29 11:37:00,2
"186",2011-10-29 11:37:00,2011-10-29 23:16:00,1
"187",2011-10-29 23:16:00,2011-10-30 11:26:00,2
"188",2011-10-30 11:26:00,2011-10-30 23:22:00,1
"189",2011-10-30 23:22:00,2011-10-31 11:49:00,2
"190",2011-10-31 11:49:00,2011-10-31 22:58:00,1
"191",2011-10-31 22:58:00,2011-11-01 11:17:00,2
"192",2011-11-01 11:17:00,2011-11-01 23:22:00,1
"193",2011-11-01 23:22:00,2011-11-02 11:19:00,2
"194",2011-11-02 11:19:00,2011-11-02 23:29:00,1
"195",2011-11-02 23:29:00,2011-11-03 11:12:00,2
"196",2011-11-03 11:12:00,2011-11-03 23:21:00,1
"197",2011-11-03 23:21:00,2011-11-04 11:16:00,2
"198",2011-11-04 11:16:00,2011-11-04 23:20:00,1
"199",2011-11-04 23:20:00,2011-11-05 11:28:00,2
"200",2011-11-05 11:28:00,2011-11-05 23:22:00,1
"201",2011-11-05 23:22:00,2011-11-06 11:16:00,2
"202",2011-11-06 11:16:00,2011-11-06 23:25:00,1
"203",2011-11-06 23:25:00,2011-11-07 11:23:00,2
"204",2011-11-07 11:23:00,2011-11-07 23:21:00,1
"205",2011-11-07 23:21:00,2011-11-08 11:21:00,2
"206",2011-11-08 11:21:00,2011-11-08 23:23:00,1
"207",2011-11-08 23:23:00,2011-11-09 11:18:00,2
"208",2011-11-09 11:18:00,2011-11-09 23:22:00,1
"209",2011-11-09 23:22:00,2011-11-10 11:28:00,2
"210",2011-11-10 11:28:00,2011-11-10 23:18:00,1
"211",2011-11-10 23:18:00,2011-11-11 11:33:00,2
"212",2011-11-11 11:33:00,2011-11-11 23:22:00,1
"213",2011-11-11 23:22:00,2011-11-12 11:21:00,2
"214",2011-11-12 11:21:00,2011-11-12 23:20:00,1
"215",2011-11-12 23:20:00,2011-11-13 11:45:00,2
"216",2011-11-13 11:45:00,2011-11-13 23:22:00,1
"217",2011-11-13 23:22:00,2011-11-14 11:17:00,2
"218",2011-11-14 11:17:00,2011-11-14 23:24:00,1
"219",2011-11-14 23:24:00,2011-11-15 11:20:00,2
"220",2011-11-15 11:20:00,2011-11-15 23:23:00,1
"221",2011-11-15 23:23:00,2011-11-16 11:19:00,2
"222",2011-11-16 11:19:00,2011-11-16 23:22:00,1
"223",2011-11-16 23:22:00,2011-11-17 11:18:00,2
"224",2011-11-17 11:18:00,2011-11-17 23:21:00,1
"225",2011-11-17 23:21:00,2011-11-18 11:25:00,2
"226",2011-11-18 11:25:00,2011-11-18 23:24:00,1
"227",2011-11-18 23:24:00,2011-11-19 11:19:00,2
"228",2011-11-19 11:19:00,2011-11-19 23:18:00,1
"229",2011-11-19 23:18:00,2011-11-20 11:32:00,2
"230",2011-11-20 11:32:00,2011-11-20 23:21:00,1
"231",2011-11-20 23:21:00,2011-11-21 11:19:00,2
"232",2011-11-21 11:19:00,2011-11-21 23:21:00,1
"233",2011-11-21 23:21:00,2011-11-22 11:20:00,2
"234",2011-11-22 11:20:00,2011-11-22 23:26:00,1
"235",2011-11-22 23:26:00,2011-11-23 11:48:00,2
"236",2011-11-23 11:48:00,2011-11-23 23:23:00,1
"237",2011-11-23 23:23:00,2011-11-24 11:26:00,2
"238",2011-11-24 11:26:00,2011-11-24 23:23:00,1
"239",2011-11-24 23:23:00,2011-11-25 11:27:00,2
"240",2011-11-25 11:27:00,2011-11-25 23:16:00,1
"241",2011-11-25 23:16:00,2011-11-26 11:25:00,2
"242",2011-11-26 11:25:00,2011-11-26 23:22:00,1
"243",2011-11-26 23:22:00,2011-11-27 11:31:00,2
"244",2011-11-27 11:31:00,2011-11-27 23:22:00,1
"245",2011-11-27 23:22:00,2011-11-28 11:25:00,2
"246",2011-11-28 11:25:00,2011-11-28 23:13:00,1
"247",2011-11-28 23:13:00,2011-11-29 11:32:00,2
"248",2011-11-29 11:32:00,2011-11-29 23:15:00,1
"249",2011-11-29 23:15:00,2011-11-30 11:46:00,2
"250",2011-11-30 11:46:00,2011-11-30 23:19:00,1
"251",2011-11-30 23:19:00,2011-12-01 11:31:00,2
"252",2011-12-01 11:31:00,2011-12-01 23:22:00,1
"253",2011-12-01 23:22:00,2011-12-02 11:49:00,2
"254",2011-12-02 11:49:00,2011-12-02 23:21:00,1
"255",2011-12-02 23:21:00,2011-12-03 11:27:00,2
"256",2011-12-03 11:27:00,2011-12-03 23:26:00,1
"257",2011-12-03 23:26:00,2011-12-04 12:02:00,2
"258",2011-12-04 12:02:00,2011-12-04 23:29:00,1
"259",2011-12-04 23:29:00,2011-12-05 11:32:00,2
"260",2011-12-05 11:32:00,2011-12-05 23:29:00,1
"261",2011-12-05 23:29:00,2011-12-06 11:29:00,2
"262",2011-12-06 11:29:00,2011-12-06 23:32:00,1
"263",2011-12-06 23:32:00,2011-12-07 12:09:00,2
"264",2011-12-07 12:09:00,2011-12-07 23:27:00,1
"265",2011-12-07 23:27:00,2011-12-08 11:36:00,2
"266",2011-12-08 11:36:00,2011-12-08 23:22:00,1
"267",2011-12-08 23:22:00,2011-12-09 11:33:00,2
"268",2011-12-09 11:33:00,2011-12-09 23:22:00,1
"269",2011-12-09 23:22:00,2011-12-10 11:41:00,2
"270",2011-12-10 11:41:00,2011-12-10 23:28:00,1
"271",2011-12-10 23:28:00,2011-12-11 11:52:00,2
"272",2011-12-11 11:52:00,2011-12-11 23:14:00,1
"273",2011-12-11 23:14:00,2011-12-12 11:32:00,2
"274",2011-12-12 11:32:00,2011-12-12 23:27:00,1
"275",2011-12-12 23:27:00,2011-12-13 12:03:00,2
"276",2011-12-13 12:03:00,2011-12-13 23:23:00,1
"277",2011-12-13 23:23:00,2011-12-14 11:59:00,2
"278",2011-12-14 11:59:00,2011-12-14 23:34:00,1
"279",2011-12-14 23:34:00,2011-12-15 11:55:00,2
"280",2011-12-15 11:55:00,2011-12-15 23:20:00,1
"281",2011-12-15 23:20:00,2011-12-16 11:43:00,2
"282",2011-12-16 11:43:00,2011-12-16 23:26:00,1
"283",2011-12-16 23:26:00,2011-12-17 11:40:00,2
"284",2011-12-17 11:40:00,2011-12-17 23:27:00,1
"285",2011-12-17 23:27:00,2011-12-18 12:02:00,2
"286",2011-12-18 12:02:00,2011-12-18 23:28:00,1
"287",2011-12-18 23:28:00,2011-12-19 11:43:00,2
"288",2011-12-19 11:43:00,2011-12-19 23:27:00,1
"289",2011-12-19 23:27:00,2011-12-20 11:56:00,2
"290",2011-12-20 11:56:00,2011-12-20 23:31:00,1
"291",2011-12-20 23:31:00,2011-12-21 11:49:00,2
"292",2011-12-21 11:49:00,2011-12-21 23:34:00,1
"293",2011-12-21 23:34:00,2011-12-22 11:40:00,2
"294",2011-12-22 11:40:00,2011-12-22 23:30:00,1
"295",2011-12-22 23:30:00,2011-12-23 12:05:00,2
"296",2011-12-23 12:05:00,2011-12-23 23:15:00,1
"297",2011-12-23 23:15:00,2011-12-24 12:10:00,2
"298",2011-12-24 12:10:00,2011-12-24 23:26:00,1
"299",2011-12-24 23:26:00,2011-12-25 11:52:00,2
"300",2011-12-25 11:52:00,2011-12-25 23:22:00,1
"301",2011-12-25 23:22:00,2011-12-26 12:00:00,2
"302",2011-12-26 12:00:00,2011-12-26 23:18:00,1
"303",2011-12-26 23:18:00,2011-12-27 11:55:00,2
"304",2011-12-27 11:55:00,2011-12-27 23:36:00,1
"305",2011-12-27 23:36:00,2011-12-28 11:43:00,2
"306",2011-12-28 11:43:00,2011-12-28 23:31:00,1
"307",2011-12-28 23:31:00,2011-12-29 11:42:00,2
"308",2011-12-29 11:42:00,2011-12-29 23:29:00,1
"309",2011-12-29 23:29:00,2011-12-30 11:47:00,2
"310",2011-12-30 11:47:00,2011-12-30 23:37:00,1
"311",2011-12-30 23:37:00,2011-12-31 11:44:00,2
"312",2011-12-31 11:44:00,2011-12-31 23:38:00,1
"313",2011-12-31 23:38:00,2012-01-01 11:45:00,2
"314",2012-01-01 11:45:00,2012-01-01 23:35:00,1
"315",2012-01-01 23:35:00,2012-01-02 12:07:00,2
"316",2012-01-02 12:07:00,2012-01-02 23:39:00,1
"317",2012-01-02 23:39:00,2012-01-03 12:03:00,2
"318",2012-01-03 12:03:00,2012-01-03 23:26:00,1
"319",2012-01-03 23:26:00,2012-01-04 12:03:00,2
